0	1	2	3	4	5
000049df7bb5a07b987d66d9d408235f	1	00:00:00	http://www.celebritycruises.com/cruises/cruise-package-SM06R010?packageid=SM06R010&dest=CARIB&shipCode=SM&shipName=Celebrity%20Summit&sailDate=1161016&cabincls=CONCIERGE	12-11-2015	14:22:23 GMT
00004ee5f495f37d6e2590e1d01ee16f	1	00:02:16	http://www.celebritycruises.com/htmlpage/deals-and-departures?CID=emx_etar_em_2016wv_1601_bbbeuro_em_orl_9286&allowMobile=y	01-23-2016	23:26:16 GMT
00004ee5f495f37d6e2590e1d01ee16f	1	00:02:16	http://www.celebritycruises.com/sitemap?cS=Footer&ICID=Cel_11Q4_web_hp_ftr_sitemap	01-23-2016	23:27:55 GMT
00004ee5f495f37d6e2590e1d01ee16f	1	00:02:16	http://www.celebritycruises.com/about-celebrity/preferred-partnerships	01-23-2016	23:28:32 GMT
00005667ad7fd7633f3baf20a07be47a	1	00:00:00	http://www.celebritycruises.com/cruises/cruise-package-SL14K071?packageid=SL14K071&dest=AUSTL&shipCode=SL&shipName=Celebrity%20Solstice&sailDate=1160119&cabincls=INTERIOR&promoType=80&allowMobile=y&ecid=em_21028349&rid=260248575&mes=Celebrity%20Exciting%20Deals%20121515%20CALIFORNIA%20CVP&emsc=CCVPASSUS0000EM&empf=Y&emct=S&lnkid=ITINSRCH_SL_011916	12-15-2015	19:04:10 GMT
00006007b6e0bf3c5d42068431668e43	1	00:00:00	http://www.celebritycruises.com/home?wuc=USA	12-12-2015	11:32:59 GMT
000068494338ba96eeadccd52486c377	1	00:00:28	http://www.celebritycruises.com/htmlpage/go-alaska?allowMobile=y&ecid=em_21014791&rid=146050814&mes=New%20Deplymnt%20AL,%20BER%20CanNE%20CC%20DEC%202015%20Version1&emsc=CCCSELECT0000EM&empf=U&emct=S&lnkid=DEPLOYMENT__AL_LM1	12-02-2015	22:22:41 GMT
000068494338ba96eeadccd52486c377	1	00:00:28	http://www.celebritycruises.com/cruise-search/search-results	12-02-2015	22:23:08 GMT
000068494338ba96eeadccd52486c377	1	00:00:28	http://www.celebritycruises.com/cruise-search/search-results	12-02-2015	22:23:09 GMT
00006bb35e9b97b671ce9b451f5f5518	1	00:00:10	http://www.celebritycruises.com/cruise-search/search-results	02-02-2016	12:59:49 GMT
