			#visits(sessions)					Duration over that vists					day difference				Session Frequency	Frequency Ratio
value visitors	Total #unique IDs		1 session	2  sessions	3  sessions	4  sessions	5 sessions+	1 session	2  sessions	3  sessions	4  sessions	5 sessions+	1~2	2~3	3~4	4~5		
tier1:bouncer (1 session/one page only)	12		12	0	0	0	0	0:00:00	0	0	0	0	0	0	0	0	12
tier2: 1x Session/ 2+ pages	13		13	0	0	0	0	0:02:15	0	0	0	0	0	0	0	0	13
tier3: High value visitors (2+ sessions/2+ pages)	4		4	4	1	1	1	0:04:05	0:18:56	0:20:58	0:08:29	0:00:23	16	50	7	6	11
tier4: converters (book or held online)	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
User count	29
