Segment Code	Frequency	Freq_Percentage
1552	387	0.0003%
59	15240	0.0118%
1554	408	0.0003%
55	214923	0.1660%
54	211266	0.1631%
57	19658	0.0152%
56	46629	0.0360%
51	87155	0.0673%
50	456477	0.3525%
53	319931	0.2470%
52	290094	0.2240%
537	777	0.0006%
536	1603	0.0012%
535	1788	0.0014%
534	3017	0.0023%
533	2236	0.0017%
532	10385	0.0080%
531	27733	0.0214%
530	197170	0.1522%
539	345824	0.2670%
538	1428	0.0011%
5139	2044	0.0016%
14746	6	0.0000%
5137	3562	0.0028%
1907	11289	0.0087%
1975	18	0.0000%
429	130	0.0001%
428	147	0.0001%
422	210	0.0002%
425	677	0.0005%
424	596	0.0005%
427	228	0.0002%
426	295	0.0002%
14744	22	0.0000%
23252	1508	0.0012%
23257	32533	0.0251%
23258	24320	0.0188%
15335	28258	0.0218%
15334	1362	0.0011%
15336	1	0.0000%
11356	67711	0.0523%
23380	83421	0.0644%
23383	198995	0.1537%
7543	135037	0.1043%
7544	1	0.0000%
16138	52376	0.0404%
16139	56826	0.0439%
16136	271033	0.2093%
16137	96553	0.0746%
16134	43030	0.0332%
16135	90663	0.0700%
16132	58212	0.0449%
16133	74722	0.0577%
16130	60541	0.0467%
16131	40788	0.0315%
6169	11064	0.0085%
6168	135974	0.1050%
12730	3	0.0000%
6163	2271	0.0018%
6162	906	0.0007%
6165	500	0.0004%
6164	481	0.0004%
6167	1139	0.0009%
6166	3923	0.0030%
9970	184	0.0001%
227	29257	0.0226%
226	3251	0.0025%
225	3078	0.0024%
224	313	0.0002%
223	4033	0.0031%
222	2747	0.0021%
221	3156	0.0024%
220	2908	0.0022%
151	8447	0.0065%
150	9218	0.0071%
153	26746	0.0207%
152	937	0.0007%
2501	387	0.0003%
10179	6303	0.0049%
2729	240549	0.1857%
23356	13760	0.0106%
7233	400979	0.3096%
7231	153249	0.1183%
21249	592	0.0005%
27491	4	0.0000%
27490	2	0.0000%
27495	5	0.0000%
27494	65	0.0001%
27497	1	0.0000%
27496	1	0.0000%
1949	138	0.0001%
21408	483173	0.3731%
1942	52	0.0000%
1943	192	0.0001%
1940	347	0.0003%
1941	15	0.0000%
1946	115	0.0001%
1947	67	0.0001%
1944	16	0.0000%
1945	62	0.0000%
3207	126	0.0001%
3206	27	0.0000%
1993	64	0.0000%
3204	98	0.0001%
1968	36	0.0000%
1700	201	0.0002%
1701	55	0.0000%
1702	213	0.0002%
7730	478438	0.3694%
1704	201	0.0002%
1705	99	0.0001%
1706	436	0.0003%
1707	173	0.0001%
1708	239	0.0002%
1709	308	0.0002%
5185	102821	0.0794%
1128	6925	0.0053%
1129	390	0.0003%
1120	135975	0.1050%
1121	122529	0.0946%
1122	255339	0.1972%
1123	201	0.0002%
1124	2	0.0000%
1125	32836	0.0254%
1126	420880	0.3250%
1127	8794	0.0068%
524	5279	0.0041%
525	7420	0.0057%
526	461	0.0004%
520	175	0.0001%
521	596	0.0005%
522	1699	0.0013%
523	2916	0.0023%
8736	156145	0.1206%
529	10176	0.0079%
12842	72	0.0001%
12843	90	0.0001%
12841	41	0.0000%
12844	13	0.0000%
438	403	0.0003%
439	12	0.0000%
436	336	0.0003%
437	671	0.0005%
434	336	0.0003%
435	1039	0.0008%
433	3	0.0000%
431	152	0.0001%
2485	136	0.0001%
23484	8909	0.0069%
23482	19706	0.0152%
23483	11654	0.0090%
23480	8926	0.0069%
23481	6774	0.0052%
23248	49598	0.0383%
23244	6089	0.0047%
5704	413870	0.3196%
5705	566677	0.4376%
5706	484850	0.3744%
5707	467437	0.3609%
5703	226281	0.1747%
9260	143	0.0001%
9267	2	0.0000%
14715	3	0.0000%
9271	66	0.0001%
16219	254473	0.1965%
16218	276026	0.2131%
16587	161987	0.1251%
16586	16571	0.0128%
996	72347	0.0559%
238	5387	0.0042%
239	12106	0.0093%
234	992	0.0008%
235	1151	0.0009%
236	11280	0.0087%
237	5217	0.0040%
230	22	0.0000%
231	148959	0.1150%
16589	108583	0.0838%
16588	70140	0.0542%
9277	125	0.0001%
144	60079	0.0464%
145	74079	0.0572%
143	237065	0.1831%
141	42383	0.0327%
149	2363	0.0018%
21349	112	0.0001%
5141	2	0.0000%
9168	306165	0.2364%
9169	143978	0.1112%
9164	230802	0.1782%
9165	15	0.0000%
9167	273180	0.2109%
9160	388663	0.3001%
9161	160813	0.1242%
9162	257525	0.1989%
9163	132	0.0001%
7969	77	0.0001%
27482	44	0.0000%
27483	80	0.0001%
27480	13	0.0000%
27481	8	0.0000%
27486	29	0.0000%
27487	13	0.0000%
27488	1	0.0000%
27489	197	0.0002%
1957	5	0.0000%
1956	670	0.0005%
1951	316	0.0002%
1950	80	0.0001%
1952	2	0.0000%
1959	346	0.0003%
1481	315539	0.2436%
1480	625	0.0005%
12732	483	0.0004%
1713	527	0.0004%
1712	49	0.0000%
1711	420	0.0003%
1710	55	0.0000%
1715	562	0.0004%
1714	8	0.0000%
12735	9	0.0000%
12736	8	0.0000%
12737	7	0.0000%
1139	35123	0.0271%
1138	107	0.0001%
1133	421	0.0003%
1132	113294	0.0875%
1131	3603	0.0028%
1130	27	0.0000%
1137	2866	0.0022%
1136	180027	0.1390%
1135	1401	0.0011%
1134	8083	0.0062%
519	1393	0.0011%
518	1030	0.0008%
1007	366214	0.2828%
1006	268662	0.2075%
513	745	0.0006%
512	177	0.0001%
515	1633	0.0013%
514	24	0.0000%
517	740	0.0006%
1000	46234	0.0357%
1997	10	0.0000%
1996	16	0.0000%
3197	11	0.0000%
2	669804	0.5172%
23238	195306	0.1508%
23231	94946	0.0733%
23230	52680	0.0407%
23233	57869	0.0447%
23232	21686	0.0167%
23235	23279	0.0180%
23234	14009	0.0108%
23236	20334	0.0157%
7566	248756	0.1921%
7567	93860	0.0725%
15	80043	0.0618%
16	69524	0.0537%
19	11265	0.0087%
18	1858	0.0014%
5712	25	0.0000%
5711	39	0.0000%
5710	22	0.0000%
23345	106581	0.0823%
23344	202371	0.1563%
9263	27	0.0000%
23341	37082	0.0286%
23340	209259	0.1616%
23342	44671	0.0345%
23349	275124	0.2124%
9273	82	0.0001%
16590	62123	0.0480%
16591	74238	0.0573%
16592	93188	0.0720%
16593	61397	0.0474%
16594	67014	0.0517%
16595	26455	0.0204%
16596	85223	0.0658%
3190	335658	0.2592%
1304	16348	0.0126%
23202	8	0.0000%
7818	419372	0.3238%
16222	299539	0.2313%
23203	3	0.0000%
3654	14787	0.0114%
3655	2627	0.0020%
3656	17963	0.0139%
3650	80565	0.0622%
3651	2353	0.0018%
3652	6650	0.0051%
3653	9462	0.0073%
16221	310834	0.2400%
9262	26	0.0000%
23207	3	0.0000%
27502	22	0.0000%
10357	86	0.0001%
10358	315	0.0002%
10359	8	0.0000%
9176	5102	0.0039%
9175	59781	0.0462%
9174	87410	0.0675%
9173	198424	0.1532%
9172	13111	0.0101%
9171	124009	0.0958%
9170	2	0.0000%
27500	9	0.0000%
5399	539710	0.4167%
1920	195	0.0002%
1921	142	0.0001%
1922	11	0.0000%
1923	620	0.0005%
1925	153	0.0001%
1926	29	0.0000%
839	91	0.0001%
3	271578	0.2097%
14233	2	0.0000%
3199	11	0.0000%
27505	1	0.0000%
27504	1	0.0000%
60	157177	0.1214%
7798	160037	0.1236%
62	24731	0.0191%
63	180608	0.1395%
64	1148	0.0009%
65	7184	0.0055%
66	18767	0.0145%
67	3885	0.0030%
68	5649	0.0044%
69	4243	0.0033%
7793	150117	0.1159%
7795	203416	0.1571%
7794	213950	0.1652%
7797	89190	0.0689%
7796	223703	0.1727%
7151	6270	0.0048%
1031	280198	0.2164%
502	434	0.0003%
503	341	0.0003%
500	400	0.0003%
501	376	0.0003%
400	1136	0.0009%
9126	267	0.0002%
1106	192240	0.1484%
1455	45583	0.0352%
1104	93670	0.0723%
1457	363	0.0003%
1450	173559	0.1340%
1451	508218	0.3924%
1452	334	0.0003%
1453	539	0.0004%
408	1306	0.0010%
1458	17	0.0000%
1459	8	0.0000%
1108	302837	0.2338%
1109	32684	0.0252%
23229	68863	0.0532%
23222	37881	0.0293%
8401	59972	0.0463%
23220	8186	0.0063%
23221	48	0.0000%
23226	104966	0.0811%
5720	29	0.0000%
5721	267	0.0002%
5724	5531	0.0043%
5725	514137	0.3970%
8314	5318	0.0041%
23354	2357	0.0018%
23355	300103	0.2317%
23352	29074	0.0224%
23351	17537	0.0135%
23358	12642	0.0098%
23359	40877	0.0316%
