Segment Code	Frequency	Freq_Percentage
6609	425	0.0003%
9265	13	0.0000%
9268	129	0.0001%
7067	442	0.0003%
5442	120915	0.0934%
5441	88843	0.0686%
9108	4939	0.0038%
9109	3094	0.0024%
9106	2816	0.0022%
9107	8622	0.0067%
9104	745	0.0006%
9105	2469	0.0019%
9102	5241	0.0040%
9100	1127	0.0009%
9101	292	0.0002%
1443	563829	0.4354%
476	246	0.0002%
7973	146	0.0001%
7972	18824	0.0145%
5160	100210	0.0774%
5161	294380	0.2273%
5162	209661	0.1619%
5163	62033	0.0479%
5164	48033	0.0371%
5165	51557	0.0398%
5166	24488	0.0189%
5167	142420	0.1100%
2640	1769	0.0014%
5169	164096	0.1267%
2642	190	0.0001%
2643	464	0.0004%
2644	57	0.0000%
2645	1533	0.0012%
2646	443	0.0003%
2647	278309	0.2149%
9212	107420	0.0829%
9210	405128	0.3128%
9211	61778	0.0477%
2000	131	0.0001%
2008	57	0.0000%
11538	288	0.0002%
7128	4815	0.0037%
7129	1451	0.0011%
7126	2696	0.0021%
7127	865	0.0007%
7125	45060	0.0348%
1669	376	0.0003%
1668	683	0.0005%
1667	5	0.0000%
1665	223	0.0002%
1661	89	0.0001%
1660	760	0.0006%
6597	8233	0.0064%
6598	97550	0.0753%
6599	74652	0.0576%
3141	1103	0.0009%
2824	108	0.0001%
2827	32	0.0000%
2820	154	0.0001%
2821	2858	0.0022%
2822	2778	0.0021%
2823	101	0.0001%
5414	243334	0.1879%
5415	7431	0.0057%
5416	201005	0.1552%
5417	348682	0.2692%
5410	204968	0.1583%
14759	534	0.0004%
5412	319299	0.2466%
5413	179608	0.1387%
14755	848	0.0007%
14756	163	0.0001%
14757	879	0.0007%
5418	52001	0.0402%
5419	95013	0.0734%
14752	147	0.0001%
14753	115	0.0001%
449	465	0.0004%
448	102	0.0001%
1339	1816	0.0014%
1338	3802	0.0029%
443	1744	0.0013%
442	3268	0.0025%
441	2575	0.0020%
1336	2343	0.0018%
1331	3786	0.0029%
1330	345	0.0003%
445	123	0.0001%
1332	770	0.0006%
14775	82	0.0001%
39	402200	0.3106%
38	176341	0.1362%
33	400099	0.3089%
32	560884	0.4331%
31	186017	0.1436%
30	14956	0.0115%
37	197957	0.1529%
36	163068	0.1259%
5571	110128	0.0850%
5570	41186	0.0318%
3092	5120	0.0040%
3093	3690	0.0028%
3090	126070	0.0973%
3091	931	0.0007%
3096	206573	0.1595%
3097	6993	0.0054%
23149	332433	0.2567%
3095	123486	0.0954%
23147	334721	0.2585%
23146	89461	0.0691%
23145	179926	0.1389%
23144	344093	0.2657%
23327	5840	0.0045%
23324	453	0.0003%
23323	146734	0.1133%
338	61339	0.0474%
23320	1253	0.0010%
335	464029	0.3583%
337	24566	0.0190%
336	258865	0.1999%
23329	88241	0.0681%
23328	11239	0.0087%
14779	55	0.0000%
23205	18	0.0000%
7412	53022	0.0409%
7410	64701	0.0500%
7411	370	0.0003%
3195	37	0.0000%
6613	84196	0.0650%
6612	326081	0.2518%
6611	213744	0.1650%
6617	53200	0.0411%
6616	71515	0.0552%
6615	148435	0.1146%
6614	63902	0.0493%
6619	135417	0.1046%
6618	199101	0.1537%
11539	3184	0.0025%
5952	1005	0.0008%
11533	1125	0.0009%
11532	3102	0.0024%
11531	551	0.0004%
11530	1049	0.0008%
11537	1324	0.0010%
11536	1169	0.0009%
11535	2410	0.0019%
11534	1516	0.0012%
1962	4	0.0000%
3638	10263	0.0079%
3639	2026	0.0016%
3636	3644	0.0028%
3637	17921	0.0138%
3634	4308	0.0033%
3635	19896	0.0154%
3632	24527	0.0189%
3633	51988	0.0401%
3630	7722	0.0060%
3631	25914	0.0200%
233	3413	0.0026%
9119	529	0.0004%
9118	921	0.0007%
9111	5366	0.0041%
9110	2156	0.0017%
9113	7978	0.0062%
9112	7064	0.0055%
9115	3078	0.0024%
9114	2703	0.0021%
9117	183	0.0001%
9116	1996	0.0015%
21157	1849	0.0014%
13372	2139	0.0017%
13371	233	0.0002%
1356	1535	0.0012%
9205	293475	0.2266%
9204	28517	0.0220%
5171	224401	0.1733%
9206	496658	0.3835%
5177	147506	0.1139%
5176	159513	0.1232%
9203	69561	0.0537%
9202	477947	0.3691%
2653	53023	0.0409%
2652	76014	0.0587%
5179	99190	0.0766%
5178	116948	0.0903%
2657	89816	0.0694%
2656	39040	0.0301%
2655	56959	0.0440%
2654	48284	0.0373%
133	22035	0.0170%
132	7430	0.0057%
131	2425	0.0019%
130	10774	0.0083%
137	6827	0.0053%
136	17	0.0000%
135	14548	0.0112%
134	9418	0.0073%
139	58496	0.0452%
138	14506	0.0112%
1354	221	0.0002%
2019	3	0.0000%
2018	202	0.0002%
2014	92	0.0001%
2017	79	0.0001%
2011	276	0.0002%
2013	283	0.0002%
2012	165	0.0001%
10289	132679	0.1024%
7131	3244	0.0025%
7130	688	0.0005%
7133	3003	0.0023%
7132	454	0.0004%
7135	4628	0.0036%
7134	3985	0.0031%
7137	587	0.0005%
7136	2151	0.0017%
7728	445634	0.3441%
7729	494853	0.3821%
1653	158	0.0001%
1651	140	0.0001%
1656	5	0.0000%
1654	224	0.0002%
1655	293	0.0002%
1986	102	0.0001%
3215	3	0.0000%
3216	86528	0.0668%
1985	178	0.0001%
7721	198674	0.1534%
3210	37	0.0000%
3159	80525	0.0622%
3158	43705	0.0337%
27517	1	0.0000%
1983	75	0.0001%
1436	86504	0.0668%
1437	25250	0.0195%
27501	81	0.0001%
5404	276996	0.2139%
5403	385911	0.2980%
5402	294486	0.2274%
5401	341736	0.2639%
5400	433182	0.3345%
14720	5	0.0000%
27509	1	0.0000%
27508	31	0.0000%
1438	705868	0.5450%
5408	182679	0.1411%
1348	145	0.0001%
1349	1349	0.0010%
450	917	0.0007%
1341	222	0.0002%
1342	1790	0.0014%
1343	443	0.0003%
454	954	0.0007%
1345	281	0.0002%
456	348	0.0003%
1347	545	0.0004%
7717	277098	0.2140%
7716	338477	0.2614%
7719	492044	0.3799%
7718	453522	0.3502%
23159	67008	0.0517%
3089	522	0.0004%
3088	1627	0.0013%
23150	139080	0.1074%
3084	223216	0.1724%
3087	1109	0.0009%
23153	43084	0.0333%
23154	52392	0.0405%
3080	353	0.0003%
23156	36789	0.0284%
3082	3806	0.0029%
23334	21523	0.0166%
23336	3544	0.0027%
23338	2398	0.0019%
7409	79772	0.0616%
7405	24913	0.0192%
7404	35049	0.0271%
7406	40135	0.0310%
7403	25005	0.0193%
7402	32575	0.0252%
11527	270	0.0002%
6628	192619	0.1487%
6629	167612	0.1294%
6626	184409	0.1424%
6627	172535	0.1332%
6624	111938	0.0864%
6625	198867	0.1536%
6622	70447	0.0544%
11529	181	0.0001%
6620	131935	0.1019%
6621	34873	0.0269%
322	508071	0.3923%
323	280153	0.2163%
320	161051	0.1244%
321	95678	0.0739%
324	146588	0.1132%
3629	2058	0.0016%
3628	965	0.0007%
3621	53473	0.0413%
3620	8800	0.0068%
3623	62010	0.0479%
3622	24159	0.0187%
3625	38025	0.0294%
3624	19608	0.0151%
3627	68379	0.0528%
3626	21332	0.0165%
5173	161523	0.1247%
5172	53649	0.0414%
2659	71211	0.0550%
13368	8374	0.0065%
13369	14	0.0000%
2658	34308	0.0265%
21351	92	0.0001%
9201	106267	0.0821%
13365	341	0.0003%
13366	452	0.0003%
13367	571	0.0004%
5175	213512	0.1649%
2488	28	0.0000%
2489	3	0.0000%
2486	50	0.0000%
2487	41	0.0000%
2484	562	0.0004%
5174	150704	0.1164%
2651	70875	0.0547%
9270	129	0.0001%
994	26338	0.0203%
21345	22	0.0000%
2650	42004	0.0324%
9275	125	0.0001%
5148	223895	0.1729%
5149	295176	0.2279%
5146	1056	0.0008%
5147	146904	0.1134%
5144	2911	0.0022%
5145	31290	0.0242%
5142	179	0.0001%
7398	26314	0.0203%
5140	1205	0.0009%
9208	38017	0.0294%
123	114029	0.0880%
124	3241	0.0025%
125	27948	0.0216%
126	3276	0.0025%
127	24628	0.0190%
128	22841	0.0176%
129	11108	0.0086%
5424	25140	0.0194%
2790	538052	0.4155%
9098	604	0.0005%
5421	218285	0.1686%
9092	220	0.0002%
9308	298	0.0002%
9309	58	0.0000%
9304	115	0.0001%
9305	4	0.0000%
9300	5	0.0000%
9302	112	0.0001%
5098	34461	0.0266%
5099	21517	0.0166%
5091	2681	0.0021%
5092	89651	0.0692%
5093	457	0.0004%
5094	90741	0.0701%
5095	102490	0.0791%
5096	76912	0.0594%
5097	3432	0.0027%
2664	133764	0.1033%
2662	55188	0.0426%
2663	102448	0.0791%
2660	52148	0.0403%
2661	95142	0.0735%
27503	4	0.0000%
1645	15	0.0000%
1644	7171	0.0055%
1647	108	0.0001%
1646	16105	0.0124%
1648	142	0.0001%
12729	371	0.0003%
12728	1148	0.0009%
388	194433	0.1501%
3168	1	0.0000%
3169	20	0.0000%
3166	14	0.0000%
3167	1	0.0000%
3164	119243	0.0921%
3165	48196	0.0372%
3162	54051	0.0417%
3163	176959	0.1366%
3160	68725	0.0531%
3161	99875	0.0771%
5436	362674	0.2800%
5437	193320	0.1493%
5435	189985	0.1467%
27514	10	0.0000%
3365	534290	0.4126%
5438	289772	0.2238%
5439	128735	0.0994%
27510	31	0.0000%
27511	4	0.0000%
27513	1	0.0000%
12720	4	0.0000%
1359	4910	0.0038%
1358	2964	0.0023%
469	14	0.0000%
468	261	0.0002%
1353	315	0.0002%
1352	3343	0.0026%
1351	1688	0.0013%
1350	459	0.0004%
1357	266	0.0002%
460	669	0.0005%
1355	1864	0.0014%
462	828	0.0006%
23186	148053	0.1143%
23189	15	0.0000%
23188	34358	0.0265%
3184	51	0.0000%
3185	1590	0.0012%
3187	237538	0.1834%
3188	179773	0.1388%
11551	1447	0.0011%
11550	842	0.0007%
11553	98	0.0001%
11552	3050	0.0024%
11555	951	0.0007%
11554	179	0.0001%
11556	12	0.0000%
11559	549	0.0004%
11558	287	0.0002%
6633	157132	0.1213%
6632	102443	0.0791%
6635	115901	0.0895%
6634	138953	0.1073%
6637	287078	0.2217%
6636	88256	0.0681%
49	228091	0.1761%
357	47061	0.0363%
356	21291	0.0164%
355	15886	0.0123%
354	68526	0.0529%
353	48069	0.0371%
352	42683	0.0330%
351	37010	0.0286%
350	118880	0.0918%
359	631	0.0005%
358	89105	0.0688%
25071	189	0.0001%
25070	1344	0.0010%
43	322	0.0002%
1447	445348	0.3439%
1110	356456	0.2752%
1445	207806	0.1605%
289	162228	0.1253%
1112	182283	0.1408%
281	132068	0.1020%
280	138483	0.1069%
283	198558	0.1533%
282	97552	0.0753%
284	98	0.0001%
1442	573614	0.4429%
1441	382149	0.2951%
1440	575651	0.4445%
21179	1394	0.0011%
263	11571	0.0089%
262	367	0.0003%
261	491	0.0004%
267	37023	0.0286%
266	17539	0.0135%
265	42446	0.0328%
264	949	0.0007%
3225	3	0.0000%
2497	145	0.0001%
21350	258	0.0002%
5158	205853	0.1590%
21352	108	0.0001%
21353	168	0.0001%
21354	305	0.0002%
21355	114	0.0001%
21356	148	0.0001%
9264	21	0.0000%
5151	237565	0.1834%
5150	46	0.0000%
9269	94	0.0001%
5152	418435	0.3231%
23214	121	0.0001%
2781	93	0.0001%
2780	133	0.0001%
2783	67	0.0001%
9089	490	0.0004%
9088	807	0.0006%
9087	1086	0.0008%
16220	415592	0.3209%
9319	67	0.0001%
9317	151	0.0001%
9316	69	0.0001%
9315	481	0.0004%
5089	144131	0.1113%
5088	51225	0.0396%
5087	248239	0.1917%
3214	1903	0.0015%
1987	100	0.0001%
1984	151	0.0001%
3217	103007	0.0795%
1982	227	0.0002%
3211	211	0.0002%
1980	50	0.0000%
1981	766	0.0006%
3218	138806	0.1072%
3219	103009	0.0795%
1988	900	0.0007%
1989	441	0.0003%
21340	5	0.0000%
2815	5141	0.0040%
2817	1532	0.0012%
2816	3615	0.0028%
2819	291	0.0002%
2818	92	0.0001%
3171	4187	0.0032%
3170	1125	0.0009%
3172	149	0.0001%
3174	15	0.0000%
3177	150	0.0001%
3376	3527	0.0027%
3373	3275	0.0025%
5420	2108	0.0016%
5423	43576	0.0336%
5422	75805	0.0585%
1366	398	0.0003%
48	104864	0.0810%
3196	1958	0.0015%
46	136474	0.1054%
47	377972	0.2919%
45	11115	0.0086%
1364	278	0.0002%
40	519139	0.4009%
41	676	0.0005%
1298	9661	0.0075%
471	250	0.0002%
1292	354737	0.2739%
1293	24649	0.0190%
1290	3849	0.0030%
1291	15495	0.0120%
1296	90965	0.0702%
1297	75590	0.0584%
1294	9062	0.0070%
1295	8496	0.0066%
1361	614	0.0005%
23198	7	0.0000%
23199	349	0.0003%
23194	47	0.0000%
23195	5	0.0000%
23196	8	0.0000%
23197	154	0.0001%
23190	36	0.0000%
23191	45	0.0000%
23193	9141	0.0071%
472	1154	0.0009%
473	1151	0.0009%
470	341	0.0003%
3194	421349	0.3253%
3193	354511	0.2737%
1363	231456	0.1787%
1360	128	0.0001%
475	370	0.0003%
478	87	0.0001%
479	410	0.0003%
1368	195915	0.1513%
3198	2248	0.0017%
	129506678	100.0000%
