00006bb35e9b97b671ce9b451f5f5518	1	1
000049df7bb5a07b987d66d9d408235f	0	1
000068494338ba96eeadccd52486c377	1	1
0000213184d34e60ad99acfe3e122368	0	1
0000c6c644604d07e6dcc49075870503	0	1
00006007b6e0bf3c5d42068431668e43	0	1
00004ee5f495f37d6e2590e1d01ee16f	1	1
0000a1a14f038e099698618ba0474183	1	1
00002a7e35fbe84bcffa8254ca344857	0	1
00005667ad7fd7633f3baf20a07be47a	0	1
000082b476b3d8d0a1cc7827411d0605	1	1
00002bbae1089f9cec2bf488ac262998	0	1
00000db0d6525fedce9b89cbaa80bf41	0	1
000073d8b76b29cdf466f214b4f622b8	1	1
0000cd41e2beff03ce2f0573281c0b34	2	2
0000331b206d605fff767ab15b0d2233	1	1
0000d14f6e7425b4abf5b40f46c2679d	2	3
00007dcb783527200b0bb99a5eb56182	1	1
0000c850c95535b4102cf82db03894b4	1	1
00000670f8518070e54d05763afacd1d	0	1
000012db91461f0a5e46da463d867747	0	1
0000ae1560ca82f586d533f5ba4679c2	1	1
0000bba2abd568f5c0a480781daf45bf	0	1
00000236f8075772e33b89562e8623f9	2	2
0000465d27f9b82f4c4e8972f7fbf79f	1	1
0000a01d2dbf8d51cb00a54a8f267da8	1	1
0000bb7860a3fcfe44dd07799e5ae7fe	1	1
