Country	Frequency	Percentage
US	2205403	92.65%
CA	87401	3.67%
AU	29719	1.25%
GB	25775	1.08%
MX	4856	0.20%
IN	3970	0.17%
DE	3455	0.15%
AR	2605	0.11%
BR	2241	0.09%
FR	2066	0.09%
ES	1926	0.08%
IL	1703	0.07%
PH	1662	0.07%
TR	1418	0.06%
BE	1174	0.05%
CO	1002	0.04%
CL	991	0.04%
IT	780	0.03%
CH	674	0.03%
JP	357	0.01%
AT	356	0.01%
TW	298	0.01%
KR	261	0.01%
CN	246	0.01%
	2380339	100.00%
	User Count: 2380339	
