Segment Code	Frequency
23230	574294
23233	459585
23232	225582
23235	202588
23234	123830
23236	174459
7566	2949027
7567	1073496
15	944857
16	867962
19	120402
18	15939
5712	151
5711	270
5710	73
23345	1991792
23344	3897229
9263	398
23341	298051
23340	4105511
23342	471275
23349	5703565
3193	3879922
9273	607
16590	752353
16591	895864
16592	1127016
16593	743654
16594	814479
16595	278699
16596	979808
3190	3556617
23200	1906
23202	85
7818	6408220
227	465807
23203	37
3654	145882
3655	23979
3656	202146
3650	933846
3651	22095
3652	82533
3653	113172
16221	3281407
9262	382
23207	6
27502	120
10357	2700
10358	6668
10359	42
9176	63930
9175	579460
9174	1164106
9173	2474783
9172	190915
9171	1583071
9170	23
5399	5926609
1920	2378
1921	1762
1922	67
1923	7496
1925	2462
1926	243
839	1729
3	2882282
14233	3
3199	92
27505	4
27504	10
60	1844223
7798	1697020
62	513368
63	2149077
64	13572
65	109838
66	348528
67	77841
68	111108
69	75994
7793	1711582
7795	2442752
7794	2565489
7797	977016
7796	2663737
7151	39898
1031	2904782
502	3076
503	2674
500	3979
501	2951
400	14325
9126	4670
1106	3555534
1455	621102
1104	1710937
1105	826871
1102	5658087
1103	1590911
1452	5520
1453	3675
408	15420
1458	236
1459	30
1108	4971258
1109	719025
23229	570872
23222	307280
8401	630275
23220	71163
23221	608
23226	933691
5720	392
5721	1245
5724	103825
5725	10106859
8314	69000
23354	17027
23355	5820216
23352	258060
8313	502
23358	129061
23359	437016
216	670
217	2645405
214	2614555
215	1968049
212	1853428
213	1852658
211	841081
218	366106
219	322490
9207	1006871
463	5005
6648	2421488
6649	1750041
6644	1918123
6645	2066168
6646	2296081
6647	2869199
6640	1191512
6641	938319
6642	5519299
6643	4310450
4	623155
13413	300633
3649	104879
3648	45046
3647	44457
3646	20808
3645	172925
3644	458837
3643	77936
3642	249960
3641	91543
3640	158578
61	173729
2778	53
2648	2638
2649	37
2772	321
2776	1194
2777	322
9143	65050
9140	200092
9141	50727
7971	164
7970	336536
9144	86291
9145	60265
21188	497
9202	7071222
21180	4331
21182	8631
21185	875
21184	2467
21187	677
21186	6686
5168	1006614
1933	1599
1932	363
1931	228
1930	304
1936	9691
1934	186
27518	3327
1939	3564
1938	5889
27519	3657
843	4015
842	2862
841	3178
840	2683
27515	8
7232	4959008
27517	1
10258	2964
27844	1539
9209	1262136
3074	2013688
3075	85
3076	1121865
3077	2311843
3078	20594
3079	4573
1025	13
12712	105
1021	1805
1020	56
12713	34
12711	832
12717	8
12718	2126
12719	166
3109	11513
3104	1187
3105	65
3107	58
3100	52892
3101	591919
3102	131304
3103	105573
1447	6819042
1446	1957311
1113	372424
1112	3156233
1443	7854103
1114	72186
1441	3947665
